titulo,isbn,autores,editora,dataPublicacao,idioma,numeroPaginas
The Name of the Rose - 2020,9783077594818,Michael Feathers,Packt Publishing,1995-12-03,por,1230
O Senhor dos Anéis - 2023,9786939783566,Jonathan Franzen,Prentice Hall,1937-08-18,eng,853
Estoicismo - Guia Prático,9780901950895,Kurt Vonnegut;Yoshua Bengio,Oxford University Press,2014-03-10,por,1464
The Castle - 2024,9784623802876,Ralph Ellison;Roger Penrose,Random House,2019-08-10,eng,514
Java Concurrency in Practice - Guia Completo,9780413396495,Günter Grass,Orbit,2003-07-06,deu,610
Rendezvous with Rama - Vol. 1,9782613605759,Stuart Russell;Frank Herbert,Bloom,1918-08-04,spa,1318
Zero to One - Reference,9785779594851,João Guimarães Rosa,Crown,1999-04-10,eng,404
Freakonomics - Parte 1,9786991220917,Thomas Mann;Peter Norvig;Yoshua Bengio,Cambridge University Press,1994-11-17,por,1270
Rework - 2018,9786116882150,Mário de Andrade;F. Scott Fitzgerald,McGraw-Hill,1943-06-16,por,1105
Dom Casmurro - Applied,9784584091418,Fyodor Dostoevsky;Brendan Burns,Cambridge University Press,1963-07-26,fra,93
Mindfulness - 2024,9788698490082,Andy Weir;Peter Thiel,Pragmatic Bookshelf,1907-10-17,deu,87
Enlightenment Now - 2022,9786055171100,Seth Godin,Rocco,1986-04-13,por,544
Invisible Man - 2017,9781690065685,Michael Feathers;Kent Beck;Trevor Hastie,Cambridge University Press,1984-04-03,por,300
The War of the Worlds - in Action,9787637307412,F. Scott Fitzgerald,Knopf,1987-10-23,eng,1241
Foundation - A Deep Dive,9785939225724,Toni Morrison,Princeton University Press,1961-01-06,spa,259
Thinking in Bets - in Depth,9785690506513,Ursula K. Le Guin;Seth Godin,Signet Classic,1937-10-18,eng,506
The Aleph - 4ª Edição,9789768846815,Anton Chekhov;Brendan Burns,Manning Publications,1959-12-26,deu,663
Introduction to Algorithms - Guia Prático,9788574486963,Frederick Brooks,Norton,1987-11-24,eng,1297
A Arte da Guerra,9789535531418,Isabel Allende,Bantam Spectra,2018-12-26,por,1034
Ética a Nicômaco - Vol. 5,9784003649923,Orson Scott Card,Tor Books,1988-05-18,por,1087
2001 A Space Odyssey - Essentials,9785042964558,Christopher Bishop,Springer,1948-09-04,eng,1185
The Noonday Demon - Parte 2,9787285100281,Adam Grant,Martins Fontes,1999-02-03,spa,1464
Good to Great - Vol. 4,9780746703090,Christopher Bishop;Gabriel García Márquez,Martins Fontes,1932-05-01,spa,210
A Hora da Estrela - Vol. 3,9786235263557,Adam Grant,St. Martin's Press,1972-10-21,por,1168
Notes from Underground - 3ª Edição,9780882038520,Johann Hari,Norton,1977-12-11,eng,537
Pedro Páramo - 2017,9788532616081,Clarice Lispector,Vintage Books,1990-08-14,por,69
Ser e Tempo - Essentials,9784148368932,Peter Norvig;Chris Richardson;Kevin Wayne,Dutton,1913-12-21,spa,978
Surely You're Joking Mr. Feynman - Vol. 4,9785191671741,Angela Duckworth,Alfaguara,1934-08-03,zho,1500
Ficciones - 2020,9782085521786,J.R.R. Tolkien,Leya,1907-11-18,por,1339
Rendezvous with Rama - Edição Bilíngue,9789215181667,Günter Grass;Umberto Eco,Oxford University Press,1983-08-20,eng,329
American Gods - Reference,9782389752831,Dan Simmons,Manning Publications,2011-02-26,eng,678
O Pequeno Príncipe - Essentials,9783102376860,William Faulkner,Objetiva,1927-02-01,fra,917
Dead Souls - 6ª Edição,9784477353531,Malcolm Gladwell,Del Rey,1952-08-08,por,612
Manual de Epicteto - Edição Especial,9787758438606,Thomas Mann;Kurt Vonnegut,Orbit,1917-09-25,por,1040
Cosmicomics - Nível Avançado,9787191447456,James Clear,Companhia das Letras,2023-10-23,eng,1212
Ética a Nicômaco - 2019,9780951903551,Neil deGrasse Tyson,Little Brown,1992-01-07,por,360
Factfulness - Nível Avançado,9786054438181,Robert Cialdini,Farrar Straus and Giroux,1950-12-02,eng,486
The Idiot - Tomo II,9782610893159,James Baldwin,Addison-Wesley,1992-06-22,zho,362
Cosmos - 4ª Edição,9780877667896,Frank Herbert,No Starch Press,1921-05-22,eng,1138
A República - Edição Crítica,9784756920751,H.G. Wells,Vintage Books,2015-10-05,spa,1409
O Ser e o Nada - 2016,9780060226596,James Clear,Random House,1924-05-14,por,1016
Sapiens - in Action,9788609326202,William Faulkner,McGraw-Hill,1959-01-28,fra,928
Atomic Habits - 2021,9789241344326,George Orwell,Farrar Straus and Giroux,2020-03-07,eng,712
The Emperor's New Mind - Edição Comemorativa,9788204227096,Brendan Burns;Hans Rosling,Simon & Schuster,1901-01-12,por,403
The Gene - Edição Premium,9781968027872,Robert Cialdini,Apress,1933-12-17,por,472
Designing Data-Intensive Applications - 2020,9782260892007,Neil deGrasse Tyson,Objetiva,1936-06-21,eng,403
Good to Great,9781865365770,Baron Schwartz,Leya,2011-08-26,por,98
Fundamentals of Software Architecture - in Depth,9786156998521,Umberto Eco,Manning Publications,2012-09-04,eng,1040
White Noise - 2022,9782634662274,Robert Cialdini,Oxford University Press,1947-04-27,spa,852
Dune - in Action,9784865071818,Len Bass,Princeton University Press,1959-07-07,eng,700
The Dispossessed - Edição de Bolso,9782169094878,Ian Goodfellow;Simon Sinek,Rocco,1928-07-07,eng,1104
The Gifts of Imperfection - 4ª Edição,9782631019675,Angela Duckworth;Yuval Noah Harari,Springer,1932-07-14,por,987
High Output Management - Edição Revisada,9788590688112,Kay Redfield Jamison,Penguin Books,1923-12-06,eng,1066
Java Concurrency in Practice - Parte 2,9788140013012,Eric Ries,Addison-Wesley,2020-09-06,eng,733
O Lobo da Estepe - Manual do Desenvolvedor,9787677498651,James Baldwin;Alex Xu;Erich Gamma,Cosac Naify,1907-03-28,por,1139
Grande Sertão Veredas - Edição Ampliada,9784700247613,Wes McKinney,Signet Classic,1908-06-15,por,153
O Senhor dos Anéis - Edição Integral,9787858071734,Chico Buarque,Puffin Books,1983-10-18,por,317
Java Concurrency in Practice - Edição Crítica,9782146748138,Andy Weir,O'Reilly Media,2015-03-06,eng,1188
No Country for Old Men - Tomo II,9787963476264,Michael Feathers,Harvard University Press,1910-11-18,por,976
The Emperor's New Mind - The Complete Guide,9783111072203,Seth Godin,MIT Press,1944-04-18,eng,1442
The War of the Worlds - Edição Ilustrada,9780284066947,Stuart Russell;Nassim Nicholas Taleb,Orbit,1998-12-04,eng,444
Artificial Intelligence A Modern Approach - Guia Completo,9781812289487,Adam Grant,Princeton University Press,1919-03-23,por,381
The Hard Thing About Hard Things - Handbook,9785723613331,Jonathan Franzen,Puffin Books,1917-02-22,eng,763
Algorithm Design - Handbook,9785697710388,Stephen Hawking,Knopf,1994-06-09,por,934
Cosmicomics - 6ª Edição,9787034580579,Michael Lewis;Chris Richardson,Cosac Naify,2008-06-25,spa,813
Poder sem Limites - Edição Atualizada,9781359012265,Kief Morris,Martins Fontes,1986-03-27,eng,227
Childhood's End - Illustrated,9789407724122,Eric Evans,Cosac Naify,2022-12-26,por,1435
The Idiot - Edição de Bolso,9788430369188,Malcolm Gladwell;Cal Newport,Martins Fontes,1985-09-15,eng,650
Domain-Driven Design - Nível Intermediário,9786364253870,David Foster Wallace,Random House,1970-02-14,jpn,675
Working Effectively with Legacy Code - Parte 3,9782295144386,Michio Kaku,Norton,1979-10-02,eng,1115
A Origem das Espécies - Handbook,9787940095426,Jennifer Doudna,Pearson,1987-10-16,eng,387
Dune - Nova Edição,9781245516693,Baron Schwartz,Penguin Books,1976-03-24,eng,933
Guerra e Paz - Illustrated,9784227979257,Trevor Hastie,Yale University Press,1909-08-25,eng,951
Homo Deus - The Complete Guide,9785523249440,Nassim Nicholas Taleb,Alfaguara,1957-08-28,eng,1153
Além do Bem e do Mal - Edição Atualizada,9783687694724,Isaac Asimov,Oxford University Press,1905-08-01,kor,378
Sprint - in Practice,9780216065932,Paul Clements;Italo Calvino,Alfaguara,1953-05-21,por,1140
A Revolução dos Bichos - Vol. 4,9784510334114,Ralph Ellison,Little Brown,1901-09-13,por,1390
O Sol Também Se Levanta - Fundamentals,9780354694513,Ursula K. Le Guin;Nassim Nicholas Taleb,Apress,1991-01-26,eng,167
System Design Interview - 3ª Edição,9786032917899,Jennifer Doudna,Harvard University Press,1969-05-25,eng,1141
Orgulho e Preconceito - Edição de Bolso,9782441377064,Nikolai Gogol;William Faulkner,McGraw-Hill,1962-11-21,spa,826
Mindfulness - 2018,9787658792419,Martin Kleppmann,Intrínseca,1977-09-21,spa,107
Shape Up - Edição Ampliada,9789535535959,Steven Skiena;Jorge Luis Borges,Apress,2024-09-28,eng,407
Invisible Man - Fundamentals,9781941376645,Dan Ariely,Crown,2008-05-27,por,1164
Getting Things Done - Guia Completo,9789809173603,Nick Bostrom,Record,1952-01-24,fra,550
Database Internals - Edição Ampliada,9788770552776,Isaac Asimov,Yale University Press,1932-12-05,eng,1379
The Pragmatic Programmer - Edição de Bolso,9786634030866,Michael Lewis,St. Martin's Press,1926-05-14,eng,417
O Hobbit - Essentials,9782186428823,Robert C. Martin,Pragmatic Bookshelf,1919-01-02,rus,1355
Zero to One - in Depth,9780538978774,J.R.R. Tolkien;Angela Duckworth,Oxford University Press,1952-12-16,spa,1337
The Gifts of Imperfection - Nível Iniciante,9784535425866,David Foster Wallace,O'Reilly Media,2022-04-18,eng,258
Rich Dad Poor Dad - Edição Definitiva,9780631245353,Jorge Luis Borges,Alfaguara,1988-06-07,eng,93
An Unquiet Mind - 2016,9781878771261,Leo Tolstoy;Charles Duhigg,Planeta,1972-07-09,por,1372
A Wizard of Earthsea - Vol. 4,9785945514157,Graciliano Ramos;Orson Scott Card;Adam Grant,Planeta,1963-01-18,eng,570
The Immortal Life of Henrietta Lacks - Fundamentals,9780672486623,Milton Hatoum;Paul Clements,Bantam Spectra,1936-09-12,zho,1486
The Noonday Demon - Parte 1,9785351055640,Nassim Nicholas Taleb,Orbit,1904-02-08,eng,938
Harry Potter e a Pedra Filosofal - in Action,9787791589181,Ursula K. Le Guin,Apress,1994-06-25,eng,336
Good to Great - Edição Definitiva,9781578373963,J.R.R. Tolkien;Joseph Heller,Anchor Books,1956-10-06,por,879
The Pragmatic Programmer - Handbook,9789057641947,Yoshua Bengio;Cal Newport,Del Rey,1965-09-21,por,481
System Design Interview - Vol. 3,9787806001172,Charles Duhigg,HarperCollins,1935-06-09,eng,1363
The Emperor of All Maladies - Edição Ilustrada,9783150990919,Neal Stephenson,Planeta,1924-02-03,por,1342
Homo Deus - Reference,9780195655155,F. Scott Fitzgerald,Pearson,1983-04-16,eng,173
Code Breaker - Guia Prático,9782356101631,Robert C. Martin,Doubleday,2012-04-17,eng,1030
Deep Learning - Guia Prático,9782494623309,George Orwell,St. Martin's Press,1944-04-04,fra,418
The Noonday Demon - 3ª Edição,9787979655578,Richard Feynman,St. Martin's Press,1981-01-28,eng,683
The Innovator's Dilemma - Edição Definitiva,9789903921797,Martin Fowler;Roger Penrose,Leya,1925-08-04,eng,1131
The Algorithm Design Manual - A Deep Dive,9789954133972,Anton Chekhov;Siddhartha Mukherjee,Simon & Schuster,1937-05-22,por,998
Sprint - 2018,9786510790198,Dan Ariely,Dutton,2008-06-12,por,80
Fahrenheit 451 - in Action,9786372932293,Peter Thiel,Addison-Wesley,1912-06-22,eng,682
A República - Guia Prático,9787257428788,J.R.R. Tolkien,Signet Classic,1912-09-11,eng,695
Structure and Interpretation of Computer Programs - Edição Premium,9785350266634,Jennifer Doudna,Wiley,1905-08-27,por,1385
Fundamentals of Software Architecture - Edição Ilustrada,9787820944738,Richard Feynman,Little Brown,1937-02-11,eng,859
Cryptonomicon - 2024,9783597201630,George Orwell,Puffin Books,2011-11-13,por,1270
Terraform in Practice - Advanced Topics,9784222995788,Aldous Huxley;William Gibson;Nassim Nicholas Taleb,Rocco,1988-12-19,eng,1478
Vidas Secas - Reference,9789496541129,Jorge Luis Borges;Erich Gamma;Yoshua Bengio,Sams Publishing,1917-07-28,eng,728
Maybe You Should Talk to Someone - Step by Step,9786485699847,Jennifer Doudna,Wiley,2023-07-27,eng,201
The Time Machine - Parte 3,9783066662177,Chris Richardson;Carl Sagan;Peter Thiel,Princeton University Press,1988-12-24,por,676
A Random Walk Down Wall Street - Applied,9787621229607,Paul Clements,Apress,1954-12-27,spa,307
Fathers and Sons - 2024,9788344272758,F. Scott Fitzgerald;Erich Gamma,Sams Publishing,1978-08-14,eng,998
Notes from Underground - Tomo I,9783819733789,Anton Chekhov,Intrínseca,1933-08-08,eng,1182
Docker Deep Dive - Edição Ampliada,9783059604788,Arthur C. Clarke;Italo Calvino,O'Reilly Media,2014-08-09,eng,519
The Brain That Changes Itself - in Practice,9785428945867,Peter Norvig,Addison-Wesley,1912-01-06,por,1291
Predictably Irrational - Nova Edição,9788943773861,William Gibson,Objetiva,1945-12-18,eng,524
Code Breaker - in Action,9781216733906,Ernest Hemingway,Pearson,1913-03-18,eng,476
Assim Falou Zaratustra - Edição Revisada,9787663260064,Hermann Hesse,Simon & Schuster,1963-07-16,kor,100
Sobre a Brevidade da Vida - Guia Prático,9786787129172,Eric Ries,Tor Books,1978-05-12,fra,575
Software Architecture in Practice - Edição Crítica,9783427639558,Chris Richardson,HarperCollins,1978-04-04,deu,1098
Notes from Underground - 2023,9787782812137,Chris Richardson,Alfaguara,2001-11-23,eng,1098
Remote - Parte 3,9784015113931,James Watson,Scribner,1961-10-12,por,274
O Gene Egoísta - Edição Integral,9784353681109,João Guimarães Rosa,Martins Fontes,1995-09-02,eng,523
An Unquiet Mind - Tomo III,9785468700044,Umberto Eco;Johann Hari,No Starch Press,1935-03-28,por,244
A Random Walk Down Wall Street - 2023,9784512010467,George Orwell;Isabel Allende,Prentice Hall,1954-02-02,eng,337
High Output Management - Nova Edição,9780062085085,Thomas Pynchon;Roger Penrose,Objetiva,1941-05-03,eng,740
Crime e Castigo - Edição Especial,9789357841191,Hermann Hesse;Wes McKinney,O'Reilly Media,1956-02-05,eng,817
Gödel Escher Bach - Patterns and Practices,9781650982182,J.K. Rowling;Thomas Pynchon,Wiley,1912-09-25,por,1252
The Hunger Games - 3ª Edição,9782335614091,Erich Gamma,Farrar Straus and Giroux,1942-08-27,fra,970
Predictably Irrational - Edição Ampliada,9789277480029,Neil Gaiman;Seth Godin,Puffin Books,1980-05-11,eng,725
Being Mortal - 4ª Edição,9782436421512,Douglas Hofstadter,Prentice Hall,1969-04-10,por,920
The Noonday Demon - 6ª Edição,9782489768312,Neal Stephenson;Steven Pinker,Wiley,1914-06-04,eng,1393
Measure What Matters - Step by Step,9787046623097,Umberto Eco;Isaac Asimov,Vintage Books,1944-04-17,eng,649
The Lean Startup - Vol. 4,9783965712119,Neil Gaiman;Richard Feynman,Planeta,1902-10-27,spa,1473
Kubernetes in Action - Edição Anotada,9780733803406,Thomas Pynchon,Norton,2007-07-21,por,1132
Being Mortal - Guia Prático,9789578373594,Frederick Brooks,Penguin Books,2023-09-19,eng,131
Crítica da Razão Pura - Vol. 4,9786105331096,Chris Richardson,Orbit,2023-04-25,por,858
A Hora da Estrela - 2022,9781001613420,Neal Ford,McGraw-Hill,1983-03-18,por,228
Antifragile - Vol. 2,9783306799052,Machado de Assis;Ernest Hemingway,Planeta,1965-01-01,spa,129
Fahrenheit 451 - Edição Clássica,9787765157095,Gabriel García Márquez;Thomas Pynchon,Oxford University Press,1955-11-21,por,1284
The Tin Drum - Illustrated,9788382945560,Michio Kaku,Springer,2003-04-09,por,1266
Good to Great - Edição Clássica,9783853708460,Robert Tibshirani,Princeton University Press,1972-10-25,eng,1068
Terraform in Practice - 2019,9786690733695,Jonathan Franzen;Ivan Turgenev,Planeta,1993-02-21,kor,831
When Breath Becomes Air - 5ª Edição,9782333986855,Adam Grant,Crown,1977-07-21,eng,1006
O Senhor dos Anéis - in Practice,9781158212705,Steve McConnell;Marcel Proust;J.R.R. Tolkien,Leya,1972-06-19,eng,1456
Pálido Ponto Azul - Nível Avançado,9788379262694,Robert Tibshirani,O'Reilly Media,1983-09-19,eng,867
Site Reliability Engineering - Edição Definitiva,9781787489684,Mark Richards,Vintage Books,2015-03-26,por,572
A Hora da Estrela - Edição Ilustrada,9784392873350,Umberto Eco;Neil deGrasse Tyson,Norton,1963-07-08,ita,1477
A Origem das Espécies - Vol. 3,9781165618675,Cal Newport,No Starch Press,2003-06-06,eng,858
A Hora da Estrela - Fundamentals,9785541794588,Juan Rulfo,Cambridge University Press,1975-01-20,por,427
Lost Connections - 4ª Edição,9781186404660,Donald Knuth;Milton Hatoum;Aldous Huxley,O'Reilly Media,1993-09-09,eng,478
Os Miseráveis - 2019,9782306949443,Neal Ford,Doubleday,1978-02-18,por,1044
Sprint - Nível Iniciante,9780798580724,Jim Collins;Nikolai Gogol,Random House,1947-11-07,por,858
The Elements of Statistical Learning - 5ª Edição,9782122153833,Franz Kafka;Michael Lewis,Farrar Straus and Giroux,2005-02-17,ita,1292
A Hora da Estrela - 2020,9788092948820,Donald Knuth,Pragmatic Bookshelf,1923-05-01,fra,1469
Python for Data Analysis - Reference,9788434313859,Michael Feathers;Arthur C. Clarke,Record,1984-01-09,por,461
Hyperion - Parte 1,9786532872421,Machado de Assis,Manning Publications,1940-11-06,fra,995
Neuromancer - A Deep Dive,9789850186287,George Orwell;Adam Grant;Brené Brown,Norton,1913-04-04,eng,1338
The C Programming Language - Edição Crítica,9784522184165,Juan Rulfo,Yale University Press,1976-07-09,eng,66
Thinking Fast and Slow - Vol. 2,9787670973650,Umberto Eco,Rocco,2010-01-22,eng,131
Cosmicomics - 4ª Edição,9787949475649,Kief Morris;Frank Herbert,Leya,1922-03-24,eng,639
The Castle - 6ª Edição,9782551614813,João Guimarães Rosa;Clayton Christensen,St. Martin's Press,2008-04-04,por,462
The Immortal Life of Henrietta Lacks - 3ª Edição,9788837889876,Michael Lewis,St. Martin's Press,1927-03-02,eng,834
Memórias Póstumas de Brás Cubas - 2022,9785222348109,Chico Buarque;Nassim Nicholas Taleb;Douglas Hofstadter,Vintage Books,1912-07-06,eng,878
No Rules Rules - Edição Anotada,9787081447245,Milton Hatoum;Paul Clements,Manning Publications,1910-02-21,eng,1021
Sobre a Brevidade da Vida - The Complete Guide,9781369289824,Frank Herbert,Cambridge University Press,1962-04-12,eng,318
A Wizard of Earthsea - Edição Especial,9787687859701,Brian Greene;Dan Ariely,Wiley,1980-08-13,eng,620
Code Complete - Vol. 1,9785570923881,James Watson,Del Rey,2019-10-15,eng,656
The Emperor of All Maladies - Parte 2,9787695457852,Dan Ariely,Pearson,1978-04-15,eng,86
Guerra e Paz - 2018,9784140685228,Kent Beck,Sams Publishing,2015-12-12,fra,1451
Competitive Programming - Edição Ampliada,9780041119947,Douglas Adams;Baron Schwartz;Suzanne Collins,Prentice Hall,1931-10-02,eng,700
Deep Learning,9785111587572,Fyodor Dostoevsky,Dutton,2023-11-10,fra,732
System Design Interview - Vol. 2,9789221506201,Ursula K. Le Guin;Seth Godin,Dutton,1927-10-06,eng,264
Infinite Jest - Edição Crítica,9787161884274,Max Tegmark,Apress,1961-11-18,spa,678
Thinking Fast and Slow - in Depth,9780764170294,J.K. Rowling,Anchor Books,1975-12-27,eng,149
Siddhartha - Applied,9787617242559,Italo Calvino,Bantam Spectra,1919-06-22,deu,373
Good to Great - in Action,9786481018062,Arthur C. Clarke,Harvard University Press,1919-07-09,ita,1142
The Idiot - 2017,9787248209518,Toni Morrison,Norton,1951-01-22,por,471
Java Concurrency in Practice - 4ª Edição,9782603599129,J.R.R. Tolkien,Little Brown,2020-06-09,fra,1309
Underworld - Tomo II,9782785907903,Andy Weir;Baron Schwartz;Charles Duhigg,Planeta,2018-04-23,eng,1318
Pattern Recognition and Machine Learning - Cookbook,9786065082328,Robert Sedgewick;Hermann Hesse,Random House,1980-01-23,fra,64
Incognito - Vol. 2,9780442136017,Jonathan Franzen,Prentice Hall,1929-07-11,spa,554
Guerra e Paz - Advanced Topics,9782025279135,Eric Evans;James Baldwin,Little Brown,1961-01-17,por,759
The C Programming Language - 3ª Edição,9786435421931,Alex Xu,Anchor Books,1933-07-09,eng,921
The Elements of Statistical Learning - Edição Anotada,9783593772707,Angela Duckworth,Leya,2001-07-21,eng,1335
Rich Dad Poor Dad - Guia Prático,9783974729009,Roger Penrose,Dutton,1975-12-17,eng,694
Catch-22 - Vol. 2,9781830994332,Eric Evans,St. Martin's Press,1944-06-21,ita,1258
Hyperion - Handbook,9784250377921,Mário de Andrade,Martins Fontes,2016-03-08,por,807
Estoicismo - Edição Integral,9782608710161,Peter Thiel;Arthur C. Clarke,Pragmatic Bookshelf,1921-09-02,ita,1067
Pedro Páramo - 4ª Edição,9785023868394,Kay Redfield Jamison,Leya,1961-04-27,spa,1302
O Lobo da Estepe - 4ª Edição,9789158711310,Nikolai Gogol,Leya,1929-11-04,spa,836
Competitive Programming - 2019,9781507487709,Bessel van der Kolk,Bantam Spectra,2011-01-11,spa,1019
Dois Irmãos - Vol. 1,9781305116924,Brené Brown;Brendan Burns,Cosac Naify,1968-01-11,por,1345
O Hobbit - Applied,9787120794736,Anton Chekhov;Bessel van der Kolk,Harvard University Press,1999-03-08,por,860
Competitive Programming - 2021,9786724497654,Andy Weir,Little Brown,2009-12-21,eng,478
Domain-Driven Design - Patterns and Practices,9784996312200,Daniel Kahneman;Michio Kaku;Cal Newport,Addison-Wesley,1926-06-18,spa,874
Enlightenment Now - Parte 3,9781738900602,Ralph Ellison,Princeton University Press,1937-07-16,ita,188
Algorithm Design - Patterns and Practices,9780192022776,Richard Dawkins;Steven Skiena;Aldous Huxley,Objetiva,1934-09-04,eng,1433
Cem Anos de Solidão - Edição Atualizada,9788589070799,Jorge Luis Borges,Bantam Spectra,1978-03-28,por,1172
Factfulness - Edição Integral,9787310816248,Ernest Hemingway;Johann Hari,Yale University Press,1959-06-09,spa,1243
Dead Souls - Guia Prático,9786541083672,Chico Buarque;Italo Calvino,Tor Books,1963-02-10,fra,504
Deep Work - Best Practices,9784536812153,J.R.R. Tolkien,Addison-Wesley,1954-10-20,eng,1488
Superintelligence - Best Practices,9784562251223,Dan Ariely,Cosac Naify,1940-05-10,rus,1264
The Power of Habit - 2018,9780173821107,Clayton Christensen;Cal Newport,Addison-Wesley,1925-11-19,eng,1349
The Road - Nova Edição,9781191657273,Italo Calvino,Pearson,1980-02-16,por,295
Cosmicomics - Parte 2,9783539940672,Adam Grant;Martin Kleppmann,Simon & Schuster,1944-04-06,eng,307
The Algorithm Design Manual - Fundamentals,9782972176389,Michael Feathers,St. Martin's Press,2003-06-18,eng,1122
Effective Java - Edição Definitiva,9786621139183,James Watson,Apress,1969-02-23,eng,762
Anathem,9785264853555,Aldous Huxley,Penguin Books,1912-12-22,eng,478
The Idiot - Vol. 2,9783711074317,Kief Morris;Len Bass,Record,1923-10-22,eng,1046
The Castle,9787769449530,Graciliano Ramos;Richard Feynman,Cosac Naify,1993-06-04,eng,1325
Homo Deus - Advanced Topics,9789120482880,Peter Thiel,Yale University Press,1967-06-20,eng,158
Dom Quixote - in Practice,9787353938365,Kent Beck,Farrar Straus and Giroux,1927-03-07,eng,223
